Time [s],Time [h],Current [A],Voltage [V],Cycle,Step
7990.349589439015,2.2195415526219486,0.0,3.5911875558903246,0.0,2.0
8050.349589439015,2.2362082192886152,0.0,3.591187556690594,0.0,2.0
8110.349589439015,2.252874885955282,0.0,3.591187555763115,0.0,2.0
8170.349589439015,2.269541552621949,0.0,3.5911875546197622,0.0,2.0
8230.349589439014,2.286208219288615,0.0,3.591187554491165,0.0,2.0
8290.349589439014,2.3028748859552817,0.0,3.591187554191742,0.0,2.0
8350.349589439014,2.3195415526219483,0.0,3.5911875537214915,0.0,2.0
8410.349589439014,2.336208219288615,0.0,3.5911875535240814,0.0,2.0
8470.349589439014,2.352874885955282,0.0,3.5911875534349056,0.0,2.0
8530.349589439014,2.3695415526219485,0.0,3.5911875534167845,0.0,2.0
8590.349589439014,2.386208219288615,0.0,3.5911875534419737,0.0,2.0
8650.349589439014,2.4028748859552818,0.0,3.5911875534253004,0.0,2.0
8710.349589439014,2.4195415526219484,0.0,3.591187553422529,0.0,2.0
8770.349589439014,2.436208219288615,0.0,3.5911875534336577,0.0,2.0
8830.349589439014,2.4528748859552816,0.0,3.5911875534367526,0.0,2.0
8890.349589439014,2.4695415526219486,0.0,3.5911875534334827,0.0,2.0
8950.349589439014,2.4862082192886152,0.0,3.591187553429424,0.0,2.0
9010.349589439014,2.502874885955282,0.0,3.59118755342596,0.0,2.0
9070.349589439014,2.5195415526219485,0.0,3.591187553422496,0.0,2.0
9130.349589439014,2.536208219288615,0.0,3.591187553419367,0.0,2.0
9190.349589439014,2.5528748859552817,0.0,3.5911875534173956,0.0,2.0
9250.349589439014,2.5695415526219483,0.0,3.5911875534154247,0.0,2.0
9310.349589439014,2.586208219288615,0.0,3.5911875534134534,0.0,2.0
9370.349589439014,2.602874885955282,0.0,3.591187553411482,0.0,2.0
9430.349589439014,2.6195415526219485,0.0,3.5911875534095112,0.0,2.0
9490.349589439014,2.636208219288615,0.0,3.591187553408043,0.0,2.0
9550.349589439014,2.6528748859552818,0.0,3.591187553406789,0.0,2.0
9610.349589439014,2.6695415526219484,0.0,3.591187553405535,0.0,2.0
9670.349589439014,2.686208219288615,0.0,3.5911875534044015,0.0,2.0
9730.349589439014,2.7028748859552816,0.0,3.591187553403688,0.0,2.0
9790.349589439014,2.7195415526219486,0.0,3.5911875534029742,0.0,2.0
9850.349589439014,2.7362082192886152,0.0,3.5911875534022606,0.0,2.0
9910.349589439014,2.752874885955282,0.0,3.591187553401547,0.0,2.0
9970.349589439014,2.7695415526219485,0.0,3.5911875534008333,0.0,2.0
10030.349589439014,2.786208219288615,0.0,3.5911875534003013,0.0,2.0
10090.349589439014,2.8028748859552817,0.0,3.591187553399847,0.0,2.0
10150.349589439014,2.8195415526219483,0.0,3.5911875533993927,0.0,2.0
10210.349589439014,2.836208219288615,0.0,3.5911875533989823,0.0,2.0
10270.349589439014,2.852874885955282,0.0,3.591187553398724,0.0,2.0
10330.349589439014,2.8695415526219485,0.0,3.5911875533984654,0.0,2.0
10390.349589439014,2.886208219288615,0.0,3.5911875533982065,0.0,2.0
10450.349589439014,2.9028748859552818,0.0,3.591187553397948,0.0,2.0
10510.349589439014,2.9195415526219484,0.0,3.5911875533976896,0.0,2.0
10570.349589439014,2.936208219288615,0.0,3.5911875533974973,0.0,2.0
10630.349589439014,2.9528748859552816,0.0,3.591187553397333,0.0,2.0
10690.349589439014,2.9695415526219486,0.0,3.591187553397169,0.0,2.0
10750.349589439014,2.9862082192886152,0.0,3.5911875533970106,0.0,2.0
10810.349589439014,3.002874885955282,0.0,3.5911875533968702,0.0,2.0
