Time [s],Time [h],Current [A],Voltage [V],Cycle,Step
3120.0,0.8666666666666667,0.0,2.910382449845552,0.0,0.0
3180.0,0.8833333333333333,0.0,2.9103824499879334,0.0,0.0
3240.0,0.9,0.0,2.910382450018872,0.0,0.0
3300.0,0.9166666666666666,0.0,2.910382450143552,0.0,0.0
3360.0,0.9333333333333333,0.0,2.9103824501868836,0.0,0.0
3420.0,0.95,0.0,2.9103824504138975,0.0,0.0
3480.0,0.9666666666666667,0.0,2.9103824506505545,0.0,0.0
3540.0,0.9833333333333333,0.0,2.91038245062637,0.0,0.0
3600.0,1.0,0.0,2.9103824505744855,0.0,0.0
3660.0,1.0166666666666666,0.0,2.910382450522601,0.0,0.0
3720.0,1.0333333333333334,0.0,2.910382450470716,0.0,0.0
3780.0,1.05,0.0,2.9103824506309026,0.0,0.0
3840.0,1.0666666666666667,0.0,2.9103824508104896,0.0,0.0
3900.0,1.0833333333333333,0.0,2.9103824509748932,0.0,0.0
3960.0,1.1,0.0,2.9103824509991023,0.0,0.0
4020.0,1.1166666666666667,0.0,2.9103824510163747,0.0,0.0
4080.0,1.1333333333333333,0.0,2.9103824511000913,0.0,0.0
4140.0,1.15,0.0,2.910382451190864,0.0,0.0
4200.0,1.1666666666666667,0.0,2.9103824512816368,0.0,0.0
4260.0,1.1833333333333333,0.0,2.9103824513724086,0.0,0.0
4320.0,1.2,0.0,2.910382451566615,0.0,0.0
4380.0,1.2166666666666666,0.0,2.9103824515580206,0.0,0.0
4440.0,1.2333333333333334,0.0,2.9103824517076395,0.0,0.0
4500.0,1.25,0.0,2.9103824516763073,0.0,0.0
4560.0,1.2666666666666666,0.0,2.910382451635718,0.0,0.0
4620.0,1.2833333333333334,0.0,2.9103824516479238,0.0,0.0
4680.0,1.3,0.0,2.910382451665737,0.0,0.0
4740.0,1.3166666666666667,0.0,2.9103824516835504,0.0,0.0
4800.0,1.3333333333333333,0.0,2.9103824517013632,0.0,0.0
4860.0,1.35,0.0,2.9103824518109835,0.0,0.0
4920.0,1.3666666666666667,0.0,2.9103824519198525,0.0,0.0
4980.0,1.3833333333333333,0.0,2.910382451948521,0.0,0.0
